Date,Open,High,Low,Close,Volume
1629165600000,46302.6,46326.75,46226.31,46315.64,828.137
1629165900000,46315.64,46315.64,46204.71,46283.38,845.378
1629166200000,46283.39,46326,46248.49,46310.29,1026.872
1629166500000,46310.28,46310.32,46201.6,46277.43,777.313
1629166800000,46277.43,46305.03,46168,46177.79,742.932
1629167100000,46178.46,46237.96,46165,46203.7,540.983
1629167400000,46203.71,46280.81,46203.7,46206.83,575.518
1629167700000,46206.84,46395.52,46192.3,46387.15,1076.048
1629168000000,46387.14,46448,46315.65,46413.62,1422.749
1629168300000,46412.96,46430,46320.52,46371.71,681.572
1629168600000,46371.7,46487.12,46366.53,46424.64,1293.497
1629168900000,46424.65,46464.61,46375,46451.26,904.587
1629169200000,46451.27,46466.71,46357.32,46389.94,804.336
1629169500000,46389.94,46402.64,46335.69,46398.43,635.137
1629169800000,46398.44,46400,46365.36,46370.88,581.281
1629170100000,46374.49,46466.52,46374.48,46414.3,919.191
1629170400000,46414.3,46493.5,46371.97,46491.01,747.458
1629170700000,46491,46572.62,46447.23,46500.75,1734.335
1629171000000,46500.75,46584.74,46470.45,46569.48,1471.027
1629171300000,46569.48,46645,46522.31,46549.99,1419.071
1629171600000,46549.99,46552.19,46447.38,46490.01,907.207
1629171900000,46490,46490,46378.5,46413.32,1058.057
1629172200000,46413.32,46441.45,46370.69,46425,655.986
1629172500000,46425,46455.64,46385.34,46426.12,554.442
1629172800000,46426.8,46523.1,46385.36,46507.78,724.813
1629173100000,46509.5,46511.81,46440,46490.01,475.641
1629173400000,46490,46599,46490,46539.39,1091.139
1629173700000,46539.39,46549,46478.98,46489.77,540.244
1629174000000,46489.76,46490.49,46253,46256.2,1578.737
1629174300000,46256.96,46370,46250.71,46270,1018.74
1629174600000,46270,46369.94,46269.1,46332.96,788.049
1629174900000,46332.97,46423.83,46332.97,46391.27,572.876
1629175200000,46391,46421.66,46364.28,46364.28,408.743
1629175500000,46364.04,46467.42,46364.03,46420.01,587.415
1629175800000,46420,46488.67,46405.76,46461.78,556.101
1629176100000,46461.78,46461.78,46370.58,46380.32,624.016
1629176400000,46380.33,46450,46251,46255.71,1099.798
1629176700000,46255.71,46347.08,46228.04,46340.68,1089.509
1629177000000,46340.68,46377,46187.44,46190.01,975.11
1629177300000,46190,46220,46036.49,46205.29,2482.497
1629177600000,46205.29,46400,46205.29,46400,1522.934
1629177900000,46400,46491.63,46377.79,46424.95,1381.693
1629178200000,46424.96,46475.7,46280,46293.98,1304.628
1629178500000,46293.98,46340.95,46188,46326.05,1372.09
1629178800000,46326.05,46351.71,46285.2,46309.02,503.684
1629179100000,46309.01,46318.37,46202.33,46202.34,682.2
1629179400000,46202.33,46231.95,46153.79,46165.54,684.02
1629179700000,46164.62,46207.36,46046.17,46063.65,1191.316
1629180000000,46063.64,46132.47,45948,45957,3205.215
1629180300000,45958,46000,45835.87,45844.07,2447.496
1629180600000,45844.08,45972.97,45832.99,45904.07,1535.117
1629180900000,45904.07,46031.12,45880.4,46015.1,1386.34
1629181200000,46015.09,46031,45941.43,45982.66,869.118
1629181500000,45982.65,46077.57,45935.28,46074.81,1050.276
1629181800000,46074.81,46077,45986.51,45997.03,590.385
1629182100000,45997.03,46061.36,45939,45944.38,731.908
1629182400000,45944.37,45970.89,45812.09,45827.08,1290.976
1629182700000,45827.09,45916.36,45811,45887.54,1276.502
1629183000000,45887.55,45949.99,45802.33,45894.05,1016.205
1629183300000,45894.05,45896.17,45750.45,45772.01,1664
1629183600000,45772,45840.95,45685,45685.03,1702.927
1629183900000,45686.12,45780,45657,45672,1414.974
1629184200000,45672,45878.8,45664.35,45877.33,1209.591
1629184500000,45877.34,46035,45830,45933.39,2036.356
1629184800000,45933.39,45968.25,45742.93,45742.93,1210.831
1629185100000,45742.93,45791.22,45670.57,45707.22,1578.439
1629185400000,45707.23,45798,45701,45790.4,767.363
1629185700000,45790.4,45799.99,45681,45785.89,1083.124
1629186000000,45785.9,45950,45785.89,45934.44,1901.538
1629186300000,45934.42,46000,45888,45895.93,1675.521
1629186600000,45895.93,45950,45862.41,45939.21,870.369
1629186900000,45939.21,45976.15,45891.52,45959.99,614.708
1629187200000,45959.99,46057.29,45884.79,46024.74,1691.78
1629187500000,46024.75,46155,46024.6,46058.71,1637.969
1629187800000,46058.71,46077.8,45963.3,46018.35,936.659
1629188100000,46018.36,46141.8,46018.35,46084.25,943.699
